Timestamp,Gender identity:,The Banshees of Inisherin,Barbie,Everything Everywhere All At Once,Glass Onion: A Knives Out Mystery,Oppenheimer, Top Gun: Maverick
9/16/2023 10:23:34,Man,5,4,5,3,4,3
9/16/2023 10:25:13,Prefer not to say,,4,,5,,
9/16/2023 10:34:00,Woman,,,,2,,
9/16/2023 10:34:02,Woman,,3,4,,,
9/16/2023 10:34:35,Woman,,5,3,3,,
9/16/2023 10:35:45,Man,,4,5,3,4,
9/16/2023 10:47:16,Woman,,4,5,,,
9/16/2023 10:51:42,Woman,,4,,5,,
9/16/2023 10:54:42,Man,,,,,4,4
9/16/2023 10:56:22,Man,5,4,3,2,5,4
9/16/2023 11:01:04,Woman,,,4,,,
9/16/2023 11:02:29,Man,,,,4,,
9/16/2023 12:06:20,Woman,4,4,,3,5,3
9/16/2023 13:08:29,Woman,,,,4,,
9/16/2023 13:12:40,Woman,5,4,,5,5,3
9/16/2023 19:49:45,Man,4,5,5,4,,
9/16/2023 19:52:01,Woman,3,5,5,3,,
